id,account_age,no_follower,no_following,no_userfavourites,no_lists,no_tweets,no_retweets,no_hashtag,no_usermention,no_urls,no_char,no_digits,class
1,0,120,211,3,0,180,1,1,2,1,94,1,spammer
2,707,624,428,2507,0,12881,0,0,0,1,99,6,spammer
3,121,1,515,0,0,416,0,0,0,1,37,0,spammer
4,260,5,23,0,0,1174,0,2,0,1,56,0,spammer
5,624,983,159,11,2,42533,0,1,0,1,82,6,spammer
6,847,2,365,0,0,409,0,0,0,2,65,20,spammer
7,18,0,5,0,0,27,2901,0,1,1,75,0,spammer
8,1815,11,14,4,0,175,0,0,0,1,40,1,spammer
9,754,388,837,243,1,1917,0,0,0,1,77,0,spammer
10,1868,120,510,59,6,2283,0,0,0,1,34,0,spammer
11,867,6,904,0,0,2449,0,0,0,1,84,21,spammer
12,33,138,778,0,0,1005,1260,0,1,1,58,0,spammer
13,1592,1,218,0,0,2121,2,0,1,2,74,22,spammer
14,961,44,75,0,1,1126,0,0,0,2,55,0,spammer
15,59,64,103,0,0,20,0,0,0,1,28,1,spammer
16,322,521,490,51,0,589,115372,0,1,1,106,0,spammer
17,768,1,0,0,0,1162,0,0,0,1,32,1,spammer
18,385,177,410,1025,0,2159,0,1,0,2,57,3,spammer
19,1,0,0,5,0,22,10016,0,1,1,66,0,spammer
20,1144,0,314,0,0,58,0,0,0,2,31,0,spammer
21,719,132,1461,0,0,1175,0,1,0,1,13,0,spammer
22,65,0,226,1,0,13,50,1,1,1,54,0,spammer
23,357,1,21,0,0,107,0,0,0,1,35,0,spammer
24,687,1,66,0,0,106,0,1,0,1,32,0,spammer
25,406,2018,1819,726,0,1848,0,0,0,1,61,5,spammer
26,1233,734,713,1569,0,4984,0,0,0,1,81,4,spammer
27,1324,0,0,0,0,80,0,0,0,1,19,0,spammer
28,716,0,0,0,0,28,0,0,0,2,62,2,spammer
29,243,3,33,0,0,16,0,0,0,1,58,0,spammer
30,181,485,414,14,0,5797,0,1,0,1,81,11,spammer
31,457,0,1,0,0,754,0,0,0,1,34,0,spammer
32,29,0,11,2,0,56,0,0,0,1,28,0,spammer
33,416,118,182,0,0,547,0,0,0,1,29,1,spammer
